2019-12-19 08,7192.69
2019-12-19 09,7094.62
2019-12-19 10,7127.09
2019-12-19 11,7151.04
2019-12-19 12,7145.29
2019-12-19 13,7138.39
2019-12-19 14,7164.42
2019-12-19 15,7188.78
2019-12-19 16,7163.18
2019-12-19 17,7165.6
2019-12-19 18,7162.72
2019-12-19 19,7159.26
2019-12-19 20,7131.22
2019-12-19 21,7112.72
2019-12-19 22,7132.76
2019-12-19 23,7139.19
2019-12-20 00,7135.11
2019-12-20 01,7101.23
2019-12-20 02,7123.33
2019-12-20 03,7156.73
2019-12-20 04,7146.01
2019-12-20 05,7147.78
2019-12-20 06,7156.83
2019-12-20 07,7161.14
2019-12-20 08,7199.83
2019-12-20 09,7203.85
2019-12-20 10,7214.25
2019-12-20 11,7172.83
2019-12-20 12,7180.98
2019-12-20 13,7200.38
2019-12-20 14,7209.63
2019-12-20 15,7214.07
2019-12-20 16,7226.73
2019-12-20 17,7209.85
2019-12-20 18,7209.95
2019-12-20 19,7203.41
2019-12-20 20,7193.93
2019-12-20 21,7173.22
2019-12-20 22,7194.34
2019-12-20 23,7181.59
2019-12-21 00,7172.88
2019-12-21 01,7179.2
2019-12-21 02,7165.26
2019-12-21 03,7153.86
2019-12-21 04,7163.25
2019-12-21 05,7136.81
2019-12-21 06,7156.03
2019-12-21 07,7168.74
2019-12-21 08,7167.89
2019-12-21 09,7154.88
2019-12-21 10,7156.92
2019-12-21 11,7167.25
2019-12-21 12,7164.07
2019-12-21 13,7178.11
2019-12-21 14,7173.76
2019-12-21 15,7176.76
2019-12-21 16,7179.02
2019-12-21 17,7153.87
2019-12-21 18,7167.25
2019-12-21 19,7159.47
2019-12-21 20,7150.07
2019-12-21 21,7164.8
2019-12-21 22,7169.51
2019-12-21 23,7163.79
2019-12-22 00,7170.38
2019-12-22 01,7160.76
2019-12-22 02,7154.63
2019-12-22 03,7206.44
2019-12-22 04,7182.65
2019-12-22 05,7191.47
2019-12-22 06,7189.73
2019-12-22 07,7183.37
2019-12-22 08,7191.81
2019-12-22 09,7195.95
2019-12-22 10,7190.67
2019-12-22 11,7214.93
2019-12-22 12,7247.55
2019-12-22 13,7333.77
2019-12-22 14,7409.83
2019-12-22 15,7421.89
2019-12-22 16,7430.35
2019-12-22 17,7418.03
2019-12-22 18,7416.54
2019-12-22 19,7517.58
2019-12-22 20,7564.47
2019-12-22 21,7622.93
2019-12-22 22,7577.49
2019-12-22 23,7605.8
2019-12-23 00,7576.22
2019-12-23 01,7560.51
2019-12-23 02,7489.42
2019-12-23 03,7513.55
2019-12-23 04,7543.94
2019-12-23 05,7540.94
2019-12-23 06,7533.29
2019-12-23 07,7565.3
2019-12-23 08,7570.39
2019-12-23 09,7535.63
2019-12-23 10,7586.33
2019-12-23 11,7598.04
2019-12-23 12,7538.63
2019-12-23 13,7409.52
2019-12-23 14,7407.17
2019-12-23 15,7445.4
2019-12-23 16,7410.42
2019-12-23 17,7322.64
2019-12-23 18,7299.57
2019-12-23 19,7326.6
2019-12-23 20,7314.38
2019-12-23 21,7312.51
2019-12-23 22,7332.3
2019-12-23 23,7318.43
2019-12-24 00,7316.15
2019-12-24 01,7336.76
2019-12-24 02,7333.42
2019-12-24 03,7265.02
2019-12-24 04,7358.37
2019-12-24 05,7371.41
2019-12-24 06,7396.88
2019-12-24 07,7376.32
2019-12-24 08,7360.55
2019-12-24 09,7388.04
2019-12-24 10,7353.43
2019-12-24 11,7281.98
2019-12-24 12,7302.31
2019-12-24 13,7244.39
2019-12-24 14,7213.3
2019-12-24 15,7252.55
2019-12-24 16,7224.79
2019-12-24 17,7252.68
2019-12-24 18,7251.91
2019-12-24 19,7260.91
2019-12-24 20,7243.22
2019-12-24 21,7249.92
2019-12-24 22,7246.22
2019-12-24 23,7237.29
2019-12-25 00,7255.03
2019-12-25 01,7242.89
2019-12-25 02,7237.92
2019-12-25 03,7258.66
2019-12-25 04,7260.95
2019-12-25 05,7243.17
2019-12-25 06,7246.79
2019-12-25 07,7224.2
2019-12-25 08,7238.67
2019-12-25 09,7210.22
2019-12-25 10,7196.57
2019-12-25 11,7208.85
2019-12-25 12,7144.62
2019-12-25 13,7169.73
2019-12-25 14,7181.83
2019-12-25 15,7253.68
2019-12-25 16,7259.7
2019-12-25 17,7222.77
2019-12-25 18,7223.47
2019-12-25 19,7202.72
2019-12-25 20,7199.79
2019-12-25 21,7205.67
2019-12-25 22,7204.79
2019-12-25 23,7192.8
2019-12-26 00,7197.27
2019-12-26 01,7181.92
2019-12-26 02,7212.97
2019-12-26 03,7212.87
2019-12-26 04,7239.15
2019-12-26 05,7216.1
2019-12-26 06,7219.65
2019-12-26 07,7197.88
2019-12-26 08,7215.25
2019-12-26 09,7218.02
2019-12-26 10,7222.41
2019-12-26 11,7244.04
2019-12-26 12,7334.61
2019-12-26 13,7378.02
2019-12-26 14,7369.39
2019-12-26 15,7313.4
2019-12-26 16,7260.88
2019-12-26 17,7202.24
2019-12-26 18,7208.52
2019-12-26 19,7207.23
2019-12-26 20,7209.7
2019-12-26 21,7209.6
2019-12-26 22,7225.69
2019-12-26 23,7224.23
2019-12-27 00,7194.96
2019-12-27 01,7207.89
2019-12-27 02,7202.99
2019-12-27 03,7176.28
2019-12-27 04,7193.03
2019-12-27 05,7178.15
2019-12-27 06,7187.77
2019-12-27 07,7118.65
2019-12-27 08,7211.3
2019-12-27 09,7189.89
2019-12-27 10,7198.31
2019-12-27 11,7243.37
2019-12-27 12,7202.66
2019-12-27 13,7208.88
2019-12-27 14,7221.61
2019-12-27 15,7222.09
2019-12-27 16,7230.92
2019-12-27 17,7229.27
2019-12-27 18,7250.1
2019-12-27 19,7253.82
2019-12-27 20,7313.64
2019-12-27 21,7309.39
2019-12-27 22,7306.86
2019-12-27 23,7287.37
2019-12-28 00,7316.06
2019-12-28 01,7326.72
2019-12-28 02,7311.3
2019-12-28 03,7304.4
2019-12-28 04,7298.67
2019-12-28 05,7306.3
2019-12-28 06,7326.7
2019-12-28 07,7305.84
2019-12-28 08,7305.65
2019-12-28 09,7317.91
2019-12-28 10,7326.73
2019-12-28 11,7325.54
2019-12-28 12,7332.37
2019-12-28 13,7354.75
2019-12-28 14,7340
2019-12-28 15,7353.12
2019-12-28 16,7343.18
2019-12-28 17,7329.1
2019-12-28 18,7325.34
2019-12-28 19,7316.23
2019-12-28 20,7317.75
2019-12-28 21,7296.71
2019-12-28 22,7315.73
2019-12-28 23,7315.15
2019-12-29 00,7322.33
2019-12-29 01,7327.85
2019-12-29 02,7335.69
2019-12-29 03,7329.56
2019-12-29 04,7373.65
2019-12-29 05,7321.06
2019-12-29 06,7342.27
2019-12-29 07,7352.61
2019-12-29 08,7368.01
2019-12-29 09,7415.16
2019-12-29 10,7404.46
2019-12-29 11,7417.42
2019-12-29 12,7416.58
2019-12-29 13,7437.64
2019-12-29 14,7441.76
2019-12-29 15,7495.69
2019-12-29 16,7415.92
2019-12-29 17,7403.25
2019-12-29 18,7410.85
2019-12-29 19,7399.49
2019-12-29 20,7357.25
2019-12-29 21,7350.38
2019-12-29 22,7374.29
2019-12-29 23,7356.61
2019-12-30 00,7378.9
2019-12-30 01,7379.29
2019-12-30 02,7379.38
2019-12-30 03,7381.01
2019-12-30 04,7366.28
2019-12-30 05,7331.58
2019-12-30 06,7313.72
2019-12-30 07,7318.05
2019-12-30 08,7307.2
2019-12-30 09,7327.41
2019-12-30 10,7300.28
2019-12-30 11,7262.67
2019-12-30 12,7252.37
2019-12-30 13,7260.05
2019-12-30 14,7245.68
2019-12-30 15,7238.59
2019-12-30 16,7265.94
2019-12-30 17,7256.65
2019-12-30 18,7272.84
2019-12-30 19,7234.44
2019-12-30 20,7248.56
2019-12-30 21,7253.12
2019-12-30 22,7236.05
2019-12-30 23,7223.27
2019-12-31 00,7236.76
2019-12-31 01,7255.97
2019-12-31 02,7245.53
2019-12-31 03,7247.3
2019-12-31 04,7232.61
2019-12-31 05,7226.36
2019-12-31 06,7243.92
2019-12-31 07,7241.8
2019-12-31 08,7245.1
2019-12-31 09,7253.78
2019-12-31 10,7239.38
2019-12-31 11,7207.45
2019-12-31 12,7209.2
2019-12-31 13,7174.37
2019-12-31 14,7168.33
2019-12-31 15,7189.29
2019-12-31 16,7171.98
2019-12-31 17,7169.55
2019-12-31 18,7187.58
2019-12-31 19,7183.88
2019-12-31 20,7174.39
2019-12-31 21,7202.75
2019-12-31 22,7237.29
2019-12-31 23,7210.09
2020-01-01 00,7209.83
2020-01-01 01,7218.63
2020-01-01 02,7212.33
2020-01-01 03,7211.64
2020-01-01 04,7201.28
2020-01-01 05,7189.88
2020-01-01 06,7207.69
2020-01-01 07,7201.62
2020-01-01 08,7225.53
2020-01-01 09,7231.41
2020-01-01 10,7224.38
2020-01-01 11,7250.67
2020-01-01 12,7245.05
2020-01-01 13,7260.28
2020-01-01 14,7250.19
2020-01-01 15,7252.78
2020-01-01 16,7252.87
2020-01-01 17,7241.43
2020-01-01 18,7203.24
2020-01-01 19,7189.94
2020-01-01 20,7218.61
2020-01-01 21,7195.19
2020-01-01 22,7180.68
2020-01-01 23,7130.25
2020-01-02 00,7154.73
2020-01-02 01,7138.33
2020-01-02 02,7140.52
2020-01-02 03,7116.22
2020-01-02 04,7160.68
2020-01-02 05,7161.95
2020-01-02 06,7170.11
2020-01-02 07,7146.19
2020-01-02 08,7157.49
2020-01-02 09,7154.08
2020-01-02 10,7149.2
2020-01-02 11,7150.32
2020-01-02 12,7060.39
2020-01-02 13,6982.94
2020-01-02 14,6987.8
2020-01-02 15,7000.26
2020-01-02 16,6956.8
2020-01-02 17,6980.36
2020-01-02 18,6978
2020-01-02 19,6965.72
2020-01-02 20,6944.11
2020-01-02 21,6886.9
2020-01-02 22,6963.13
2020-01-02 23,6955.84
2020-01-03 00,7221
2020-01-03 01,7222.03
2020-01-03 02,7212.24
2020-01-03 03,7205.94
2020-01-03 04,7264.12
2020-01-03 05,7349.15
2020-01-03 06,7318.69
2020-01-03 07,7340.29
2020-01-03 08,7324.34
2020-01-03 09,7359.07
2020-01-03 10,7260.9
2020-01-03 11,7326.2
2020-01-03 12,7398.46
2020-01-03 13,7368.04
2020-01-03 14,7346.1
2020-01-03 15,7342.76
2020-01-03 16,7320.89
2020-01-03 17,7275.75
2020-01-03 18,7306.92
2020-01-03 19,7339.7
2020-01-03 20,7311.5
2020-01-03 21,7308.56
2020-01-03 22,7327.63
2020-01-03 23,7335.78
2020-01-04 00,7334.09
2020-01-04 01,7344.57
2020-01-04 02,7360.01
2020-01-04 03,7350.06
2020-01-04 04,7351.85
2020-01-04 05,7360.82
2020-01-04 06,7314.87
2020-01-04 07,7333.08
2020-01-04 08,7310.51
2020-01-04 09,7304.25
2020-01-04 10,7316.51
2020-01-04 11,7321.86
2020-01-04 12,7304.13
2020-01-04 13,7356.01
2020-01-04 14,7306.97
2020-01-04 15,7338.4
2020-01-04 16,7341.75
