time, open, high, low, close, volume
2021-11-29 20:00:00, 465.84, 466.24, 465.69, 466.12, 79892
2021-11-29 19:00:00, 465.32, 466.06, 464.6, 465.85, 573255
2021-11-29 18:00:00, 465.15, 465.38, 464.6, 465.38, 1613976
2021-11-29 17:00:00, 464.62, 465.5864, 464.51, 465.14, 11435419
2021-11-29 16:00:00, 465.69, 466.37, 464.34, 464.63, 18771638
2021-11-29 15:00:00, 466.25, 466.29, 465.42, 465.6901, 5054696
2021-11-29 14:00:00, 466.14, 466.56, 465.61, 466.24, 7343337
2021-11-29 13:00:00, 464.49, 466.31, 464.47, 466.13, 7170782
2021-11-29 12:00:00, 462.6, 464.52, 462.26, 464.48, 7721459
2021-11-29 11:00:00, 463.51, 463.82, 461.73, 462.57, 11425276
2021-11-29 10:00:00, 463.99, 464.6, 462.47, 463.52, 11308913
2021-11-29 09:00:00, 462.88, 464.2, 462.1, 463.97, 960179
2021-11-29 08:00:00, 462.71, 462.96, 462.06, 462.89, 479779
2021-11-29 07:00:00, 463.08, 463.4, 462.67, 462.67, 158779
2021-11-29 06:00:00, 461.65, 463.19, 461.65, 463.07, 193412
2021-11-29 05:00:00, 461.01, 463.05, 457.03, 461.59, 193987
2021-11-26 17:00:00, 456.93, 457.2, 456.86, 457.1, 77308
2021-11-26 16:00:00, 458.97, 458.97, 458.97, 458.97, 0
2021-11-26 14:00:00, 459.04, 459.48, 458.94, 458.97, 1351130
2021-11-26 13:00:00, 458.94, 461.5, 457.77, 459.03, 36169457
2021-11-26 12:00:00, 460.22, 460.22, 458.135, 458.93, 19325939
2021-11-26 11:00:00, 461.48, 461.51, 459.0416, 460.23, 23153916
2021-11-26 10:00:00, 461.6, 463.9, 460.62, 461.49, 15842601
2021-11-26 09:00:00, 461.6199, 465.39, 459.6, 461.58, 1389928
2021-11-26 08:00:00, 461.07, 462.41, 461.02, 461.59, 1129647
2021-11-26 07:00:00, 460.94, 461.98, 460.74, 461.16, 254849
2021-11-26 06:00:00, 460.95, 461.8, 460.12, 461.16, 174544
2021-11-26 05:00:00, 465.0, 465.0, 459.75, 460.63, 306756
2021-11-24 20:00:00, 469.77, 470.27, 469.7, 470.22, 35831
2021-11-24 19:00:00, 469.63, 469.82, 469.6, 469.76, 23554
2021-11-24 18:00:00, 469.5, 469.65, 469.48, 469.61, 36836
2021-11-24 17:00:00, 469.37, 469.73, 469.21, 469.55, 4683408
2021-11-24 16:00:00, 468.61, 469.57, 468.405, 469.37, 14135794
2021-11-24 15:00:00, 468.47, 469.1, 467.31, 468.6201, 7259019
2021-11-24 14:00:00, 468.65, 469.02, 468.45, 468.476, 3691006
2021-11-24 13:00:00, 468.05, 468.6911, 467.72, 468.65, 4588404
2021-11-24 12:00:00, 467.4, 468.705, 466.94, 468.05, 7419233
2021-11-24 11:00:00, 466.25, 467.65, 465.63, 467.41, 9911292
2021-11-24 10:00:00, 465.97, 466.705, 465.19, 466.26, 7611265
2021-11-24 09:00:00, 466.73, 468.25, 465.73, 465.98, 525379
2021-11-24 08:00:00, 467.13, 467.38, 466.49, 466.7, 108293
2021-11-24 07:00:00, 466.46, 467.7, 466.33, 467.12, 53100
2021-11-24 06:00:00, 466.82, 467.36, 466.48, 466.48, 10369
2021-11-24 05:00:00, 468.02, 468.2, 466.57, 466.88, 26682
2021-11-23 20:00:00, 467.81, 468.3, 467.81, 468.05, 58173
2021-11-23 19:00:00, 467.97, 468.21, 467.7, 467.79, 52762
2021-11-23 18:00:00, 467.85, 468.19, 467.85, 467.91, 698428
2021-11-23 17:00:00, 468.24, 468.29, 467.45, 468.0, 7538471
2021-11-23 16:00:00, 467.54, 468.67, 466.97, 468.24, 14674010
2021-11-23 15:00:00, 466.28, 467.83, 465.53, 467.55, 7751536
2021-11-23 14:00:00, 465.46, 466.938, 464.93, 466.27, 5456679
2021-11-23 13:00:00, 466.21, 466.71, 465.21, 465.49, 6141410
2021-11-23 12:00:00, 465.065, 467.03, 464.45, 466.21, 8798319
2021-11-23 11:00:00, 468.57, 468.71, 465.02, 465.07, 11219358
